recrd,vesslterms,feature_type,chart,latitude,longitude,gp_quality,depth,sounding_type,yearsunk,history,quasou,watlev
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 17428",55.4570848,-131.4778007,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17405",55.4782513,-133.1354441,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17405",55.488347,-133.2875268,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17405",55.4391982,-133.0511884,,11.8,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17405",55.3792789,-133.1488147,,0.3,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 17405",55.5030998,-133.1369537,,23.7,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17405",55.4818918,-133.1428488,,6.7,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 17407",55.11391,-133.256949,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17407",55.263828,-133.150606,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17401",56.0100758,-132.8399713,,,,,,,partly submerged at high water
,,Wrecks - Visible,"US,US,graph,Chart 17401",56.0100704,-132.831791,,,,,,,partly submerged at high water
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17401",56.025616,-132.845573,,5.1,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17423",55.8000556,-132.1723955,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17423",55.601466,-131.636813,,,,,,,always dry
,FORT YUKON,Wrecks - Visible,"US,US,reprt,17thCGD,LNM 47/10",57.325144,-156.326711,,,,,197 ft barge,,always dry
,,,"US,US,graph,Chart 16570",57.516676,-156.030424,,12.8,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-1307/12",57.7181111,-152.5488333,,7.6,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,GC-10732",57.6995442,-152.5390015,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,GC-10732",57.7791019,-152.3844259,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16595",57.7811801,-152.3902687,,,,,,,covers and uncovers
,,Wrecks - Visible,"US,US,graph,GC-10732",57.7751804,-152.4001801,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16566",56.308612,-158.381232,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16599",57.554269,-153.97878,,,,,,,partly submerged at high water
,,Wrecks - Visible,"US,US,graph,Chart 16599",57.544667,-153.985721,,,,,,,partly submerged at high water
,,Wrecks - Visible,"US,US,graph,Chart 16599",57.532663,-154.00582,,,,,,,partly submerged at high water
,,Wrecks - Visible,"US,US,graph,Chart 16599",57.539911,-153.993526,,,,,,,partly submerged at high water
,,Wrecks - Visible,"US,US,graph,Chart 16514",53.468905,-167.02791,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,17thCGD,LNM 43/05",53.6363889,-167.1233333,,,,,,depth unknown,covers and uncovers
,,Wrecks - Visible,"US,US,reprt,L-1046/05",53.6344444,-167.125,,,,,,depth unknown,covers and uncovers
,,"Wrecks - Submerged, nondangerous","US,US,reprt,DD-11623",53.9735636,-166.5080333,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,reprt,17thCGD,LNM 45/09",53.8831111,-166.0876806,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 16529",53.9261157,-166.5119591,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,GC10581",53.8302268,-166.6126304,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,GC10581",53.830564,-166.6101341,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,chart 16530",53.8715326,-166.5442391,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,chart 16530",53.8777166,-166.5465701,,13.7,,,,,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,chart 16532",54.1499973,-165.666643,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,chart 16532",54.1575564,-165.6105125,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,chart 16532",54.2088473,-165.6171983,,,,,,,always dry
,,,"US,US,graph,chart 16432",52.762265,173.30398,,1,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,chart 16432",52.850075,173.223556,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 16462",51.668072,-178.049635,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,chart 16476",51.8644945,-176.618397,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,chart 16478",52.019905,-176.191491,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,chart 16478",52.021032,-176.1825294,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,chart 16490",52.2312068,-174.1715538,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,chart 16382",57.108176,-170.300594,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,chart 16382",57.135059,-170.297638,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 16041",69.6377288,-141.2584269,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 16043",70.1357115,-143.5868477,,,,,,,partly submerged at high water
,,Wrecks - Visible,"US,US,reprt,17th CGD,LNM 45/09",70.1317389,-143.5579583,,,,,,,partly submerged at high water
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 16044",69.977553,-144.8361861,,,,,,depth unknown,always under water/submerged
,West Dock Barge,Wrecks - Visible,"US,US,reprt,17thCGD,LNM˜45/09",70.3858306,-148.516786,,,,,,,partly submerged at high water
,,"Wrecks - Submerged, dangerous","US,US,reprt,8thCGD,LNM 02/04",30.651667,-88.028333,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11376",30.6401334,-88.035096,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11376",30.6817065,-88.037245,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11376",30.648159,-88.046681,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11376",30.753235,-88.036597,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11376",30.753813,-88.036411,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,U1,reprt,NIMA,NM 25/67",30.7165706,-88.0384552,,,,,10.7 meters/35 feet by 59.4 meters/195 feet barge,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,8thCGD,LNM 32/04",30.7241864,-88.0425225,,,,,Sunken barge,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,chart 11378",30.3465996,-87.4200071,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,chart 11378",30.3213278,-87.4344345,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,DB-16281-obs",30.3183889,-87.5539167,,,,,"Abandoned, rusted out barge sitting on bottom of ingram bayou, orange beach, al",,always dry
,,Wrecks - Visible,"US,US,graph,DB-16360-obs",30.3027667,-87.4838667,,,,,Sunk vessel now completely submerged just north of ono island south of intercostal orange beach .al,,always dry
,,Wrecks - Visible,"US,US,graph,chart 11378",30.3133021,-87.7209671,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,chart 11378",30.2906273,-87.6392529,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,chart 11378",30.2550831,-87.7998514,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,chart 11378",30.2566579,-87.806652,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,DB-16369-obs",30.3030333,-87.7323667,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,DB-16264-obs",30.3247699,-87.5343124,,,,,Sailboat sunk in roberts bayou,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11378",30.2549833,-88.17161,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11378",30.2621491,-87.8252109,,0.9,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,chart 11378",30.3175918,-87.51682,,4.2,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,chart 11378",30.2802318,-87.6600611,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 11377",30.2633334,-88.0916667,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,H-11623",30.3359803,-88.1010154,,2.1,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,H-11305 (NWID: 17326), OPR-J373-NRT1-04, x-ref: DD-13879",30.2349444,-88.0101667,,,,,,,always dry
